TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,FTARATE,PTSOFF TO,2NDPTS,FBPS,PITP,2PM,2PA,2P%,TEAM OPP,MATCH UP OPP,W/L OPP,MIN OPP,PTS OPP,FGM OPP,FGA OPP,FG% OPP,3PM OPP,3PA OPP,3P% OPP,FTM OPP,FTA OPP,FT% OPP,OREB OPP,DREB OPP,REB OPP,AST OPP,TOV OPP,STL OPP,BLK OPP,PF OPP,+/- OPP,OFFRTG OPP,DEFRTG OPP,NETRTG OPP,AST% OPP,AST/TO OPP,ASTRATIO OPP,OREB% OPP,DREB% OPP,REB% OPP,TOV% OPP,EFG% OPP,TS% OPP,PACE OPP,PIE OPP,FTARATE OPP,PTSOFF TO OPP,2NDPTS OPP,FBPS OPP,PITP OPP,2PM OPP,2PA OPP,2P% OPP
LAL,LAL vs. HOU,01/16/2023,W,48,140,49,91,53.8,12,33,36.4,30,35,85.7,9,30,39,23,2,4,5,19,8,141.4,133.3,8.1,46.9,11.5,17.3,25.0,58.2,43.4,2.0,60.4,65.8,99.0,55.1,0.385,12,15,27,60,37,58,63.8,HOU,HOU @ LAL,L,48,132,49,100,49.0,11,30,36.7,23,31,74.2,17,31,48,28,8,0,7,25,-8,133.3,141.4,-8.1,57.1,3.5,18.7,41.8,75.0,56.6,8.1,54.5,58.1,99.0,44.9,0.31,4,21,7,72,38,70,54.3
IND,IND @ MIL,01/16/2023,L,48,119,43,84,51.2,19,40,47.5,14,15,93.3,4,33,37,29,16,6,5,17,-13,116.7,130.7,-14.0,67.4,1.81,21.3,11.9,73.3,43.7,15.7,62.5,65.7,101.5,46.0,0.179,16,0,19,40,24,44,54.5,MIL,MIL vs. IND,W,48,132,48,91,52.7,23,46,50.0,13,15,86.7,9,32,41,32,14,9,1,14,13,130.7,116.7,14.0,66.7,2.29,22.1,26.7,88.1,56.3,13.9,65.4,67.6,101.5,54.0,0.165,20,18,11,42,25,45,55.6
MIA,MIA @ ATL,01/16/2023,L,48,113,43,89,48.3,8,31,25.8,19,20,95.0,12,29,41,30,16,10,4,22,-8,114.1,122.2,-8.1,69.8,1.88,20.8,34.8,88.6,58.0,16.2,52.8,57.8,99.0,47.0,0.225,11,13,13,64,35,58,60.3,ATL,ATL vs. MIA,W,48,121,45,76,59.2,13,27,48.1,18,22,81.8,2,26,28,27,16,9,5,17,8,122.2,114.1,8.1,60.0,1.69,20.9,11.4,65.2,42.0,16.2,67.8,70.6,99.0,53.0,0.289,19,5,6,46,32,49,65.3
TOR,TOR @ NYK,01/16/2023,W,53,123,38,96,39.6,13,44,29.5,34,41,82.9,14,28,42,27,6,8,12,25,2,121.8,119.8,2.0,71.1,4.5,17.9,37.1,55.7,46.3,5.9,46.4,53.9,91.47,55.2,0.427,21,24,14,40,25,52,48.1,NYK,NYK vs. TOR,L,53,121,42,99,42.4,9,31,29.0,28,35,80.0,20,34,54,17,12,3,5,28,-2,119.8,121.8,-2.0,40.5,1.42,11.7,44.3,62.9,53.7,11.9,47.0,52.9,91.47,44.8,0.354,8,26,4,58,33,68,48.5
NYK,NYK vs. TOR,01/16/2023,L,53,121,42,99,42.4,9,31,29.0,28,35,80.0,20,34,54,17,12,3,5,28,-2,119.8,121.8,-2.0,40.5,1.42,11.7,44.3,62.9,53.7,11.9,47.0,52.9,91.47,44.8,0.354,8,26,4,58,33,68,48.5,TOR,TOR @ NYK,W,53,123,38,96,39.6,13,44,29.5,34,41,82.9,14,28,42,27,6,8,12,25,2,121.8,119.8,2.0,71.1,4.5,17.9,37.1,55.7,46.3,5.9,46.4,53.9,91.47,55.2,0.427,21,24,14,40,25,52,48.1
GSW,GSW @ WAS,01/16/2023,W,48,127,45,91,49.5,18,44,40.9,19,21,90.5,9,34,43,28,12,8,1,23,9,123.3,114.6,8.7,62.2,2.33,19.9,21.7,79.5,50.0,11.7,59.3,63.3,103.0,52.4,0.231,21,8,20,38,27,47,57.4,WAS,WAS vs. GSW,L,48,118,42,86,48.8,14,35,40.0,20,23,87.0,6,30,36,31,14,7,2,21,-9,114.6,123.3,-8.7,73.8,2.21,21.7,20.5,78.3,50.0,13.6,57.0,61.4,103.0,47.6,0.267,11,9,10,46,28,51,54.9
ATL,ATL vs. MIA,01/16/2023,W,48,121,45,76,59.2,13,27,48.1,18,22,81.8,2,26,28,27,16,9,5,17,8,122.2,114.1,8.1,60.0,1.69,20.9,11.4,65.2,42.0,16.2,67.8,70.6,99.0,53.0,0.289,19,5,6,46,32,49,65.3,MIA,MIA @ ATL,L,48,113,43,89,48.3,8,31,25.8,19,20,95.0,12,29,41,30,16,10,4,22,-8,114.1,122.2,-8.1,69.8,1.88,20.8,34.8,88.6,58.0,16.2,52.8,57.8,99.0,47.0,0.225,11,13,13,64,35,58,60.3
PHX,PHX @ MEM,01/16/2023,L,48,106,39,89,43.8,10,33,30.3,18,19,94.7,9,28,37,33,15,4,4,22,-30,103.9,134.7,-30.7,84.6,2.2,22.4,23.5,67.3,45.0,14.7,49.4,54.4,101.5,38.9,0.213,17,12,8,54,29,56,51.8,MEM,MEM vs. PHX,W,48,136,52,98,53.1,16,37,43.2,16,20,80.0,13,38,51,29,11,8,6,19,30,134.7,103.9,30.7,55.8,2.64,19.9,32.7,76.5,55.0,10.9,61.2,63.7,101.5,61.1,0.204,24,17,14,66,36,61,59.0
CLE,CLE vs. NOP,01/16/2023,W,48,113,39,80,48.8,9,28,32.1,26,33,78.8,13,30,43,22,15,5,4,19,10,117.7,106.2,11.5,56.4,1.47,16.5,34.1,82.5,57.1,15.6,54.4,59.8,96.5,53.8,0.413,22,19,7,52,30,52,57.7,NOP,NOP @ CLE,L,48,103,38,75,50.7,10,27,37.0,17,22,77.3,3,25,28,26,17,9,1,23,-10,106.2,117.7,-11.5,68.4,1.53,20.2,17.5,65.9,42.9,17.5,57.3,60.8,96.5,46.2,0.293,22,8,13,40,28,48,58.3
UTA,UTA @ MIN,01/16/2023,W,48,126,45,84,53.6,13,34,38.2,23,28,82.1,14,36,50,25,18,0,5,12,1,129.9,127.6,2.3,55.6,1.39,18.0,40.5,64.9,54.5,18.6,61.3,65.4,97.5,51.8,0.333,6,18,10,60,32,50,64.0,MIN,MIN vs. UTA,L,48,125,46,101,45.5,18,41,43.9,15,18,83.3,16,25,41,28,6,9,6,20,-1,127.6,129.9,-2.3,60.9,4.67,19.2,35.1,59.5,45.5,6.1,54.5,57.4,97.5,48.2,0.178,20,22,21,56,28,60,46.7
