PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS,PTSOFF TO,2NDPTS,FBPS,PITP,OPP PTSOFF TO,OPP2ND PTS,OPPFBPS,OPPPITP,BLKA,PFD,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PT MR,%PTS3PT,%PTSFBPS,%PTSFT,%PTSOFFTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,MIN USG,USG% USG,%FGM USG,%FGA USG,%3PM USG,%3PA USG,%FTM USG,%FTA USG,%OREB USG,%DREB USG,%REB USG,%AST USG,%TOV USG,%STL USG,%BLK USG,%BLKA USG,%PF USG,%PFD USG,%PTS USG,SEASON USG,VS PLAYER,MIN OPP,OPPFGM,OPPFGA,OPPFG%,OPP3PM,OPP3PA,OPP3P%,OPPFTM,OPPFTA,OPPFT%,OPPOREB,OPPDREB,OPPREB,OPPAST,OPPTOV,OPPSTL,OPPBLK,OPPBLKA,OPPPF,OPPPFD,OPPPTS,+/- OPP,DEF RTG,%DREB,STL%,%BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,DEFWS
Luka Doncic,DAL,23,40,24,16,37.4,33.8,11.4,22.8,49.8,2.8,8.1,35.1,8.3,11.3,73.0,1.0,8.0,9.0,8.8,3.7,1.6,0.6,2.9,60.7,23.0,10.0,3.1,2022-23,118.3,114.7,3.6,44.4,2.42,22.0,2.7,22.1,12.4,9.1,56.0,60.8,37.4,96.73,21.1,3024,5.2,2.8,1.6,13.8,11.8,10.7,10.2,38.1,0.8,7.7,64.7,35.3,50.5,9.8,25.1,4.7,24.4,15.2,40.7,10.0,90.0,17.7,82.3,11.9,88.1,1497.0,37.4,36.3,35.6,24.1,25.7,54.2,54.6,16.3,34.0,30.5,52.3,39.5,29.6,19.8,30.9,18.8,44.7,37.8,2022-23,"Doncic, Luka",49.5,41.5,86.6,47.9,11.3,32.3,35.0,19.9,25.2,79.0,10.3,33.9,44.2,24.4,13.8,6.4,3.2,4.0,22.9,20.6,114.2,-4.1,114.7,34.0,29.6,19.8,11.8,10.7,10.2,38.1,0.081
Joel Embiid,PHI,28,32,20,12,34.9,33.4,11.2,20.9,53.6,1.1,3.1,35.0,9.9,11.6,85.5,1.7,8.1,9.8,4.3,3.7,1.1,1.7,3.3,56.1,20.0,1.0,6.6,2022-23,116.1,107.5,8.6,23.7,1.17,12.7,5.5,23.1,14.8,10.8,56.2,64.3,37.6,98.64,21.0,2300,4.8,3.1,2.1,14.8,10.9,10.2,11.4,32.8,1.6,8.2,85.0,15.0,60.4,16.1,9.8,6.4,29.8,14.3,44.3,59.8,40.2,94.3,5.7,63.1,36.9,1116.0,37.6,38.3,35.2,12.3,13.8,61.7,61.7,34.2,34.2,34.2,22.7,36.7,18.9,50.0,43.1,24.0,53.5,40.0,2022-23,"Embiid, Joel",48.5,39.7,86.0,46.2,11.2,32.6,34.4,16.3,20.9,78.3,9.8,32.4,42.2,23.4,15.5,7.0,5.0,4.6,21.4,19.4,107.0,-9.1,107.5,34.2,18.9,50.0,10.9,10.2,11.4,32.8,0.147
Jayson Tatum,BOS,24,43,32,11,36.8,31.1,10.2,21.6,47.1,3.3,9.4,35.2,7.4,8.6,86.7,1.1,7.2,8.3,4.3,2.6,1.0,0.8,2.1,50.3,17.0,1.0,7.0,2022-23,119.8,110.4,9.4,18.9,1.64,13.4,3.1,18.7,11.2,8.2,54.8,61.3,32.2,101.06,16.7,3326,5.5,2.2,4.2,11.7,10.8,9.8,9.6,36.8,0.8,5.5,56.6,43.4,44.3,6.7,31.9,13.5,23.8,17.6,37.5,54.4,45.6,69.0,31.0,59.1,40.9,1582.0,32.2,31.0,32.2,27.6,29.3,49.3,47.3,15.3,26.8,24.3,20.2,27.0,20.7,18.6,30.8,14.7,35.6,33.6,2022-23,"Tatum, Jayson",47.6,41.8,88.9,47.0,11.7,33.0,35.4,15.5,20.0,77.6,9.6,33.2,42.8,22.5,13.0,5.8,3.5,5.5,20.1,18.6,110.7,-9.1,110.4,26.8,20.7,18.6,10.8,9.8,9.6,36.8,0.127
Giannis Antetokounmpo,MIL,28,35,23,12,33.7,31.0,10.9,20.8,52.4,0.7,2.9,24.5,8.5,12.9,65.3,2.3,9.7,11.9,5.3,4.0,0.8,0.9,3.5,54.5,25.0,2.0,2.7,2022-23,111.0,107.4,3.5,29.8,1.34,14.9,6.4,25.6,16.2,11.2,54.1,58.4,36.9,102.74,19.5,2529,4.3,4.0,5.7,18.1,10.9,9.1,9.5,33.8,1.5,9.3,86.0,14.0,65.8,7.6,6.9,18.2,27.3,14.0,58.2,39.8,60.2,60.0,40.0,41.1,58.9,1180.0,36.9,37.9,33.5,8.2,11.0,61.3,67.0,28.5,36.7,34.7,30.8,39.1,17.7,25.6,54.1,25.9,60.5,38.7,2022-23,"Antetokounmpo, Giannis",46.7,39.8,89.6,44.5,10.6,31.9,33.3,17.0,21.3,79.7,10.5,32.2,42.7,22.2,11.3,6.5,3.9,4.9,21.2,18.9,107.2,-3.8,107.4,36.7,17.7,25.6,10.9,9.1,9.5,33.8,0.146
Shai Gilgeous-Alexander,OKC,24,40,18,22,35.7,30.7,10.1,20.1,50.3,1.0,2.8,34.8,9.4,10.4,90.8,0.8,4.1,4.9,5.5,3.1,1.7,1.1,2.7,50.0,2.0,0.0,0.8,2022-23,113.8,112.8,1.0,25.1,1.76,16.6,2.1,11.0,6.5,9.4,52.7,62.1,31.6,103.42,17.3,3073,5.6,1.6,3.7,15.0,11.6,12.1,8.1,38.3,1.4,6.8,86.1,13.9,59.7,10.9,9.5,11.9,30.8,18.2,48.8,18.9,81.1,35.9,64.1,20.5,79.5,1426.0,31.6,31.6,29.4,11.7,12.0,63.1,57.7,9.4,17.0,15.0,31.5,31.5,29.0,28.6,34.8,16.6,44.8,35.1,2022-23,"Gilgeous-Alexander, Shai",46.4,40.2,85.8,46.8,12.5,34.3,36.4,19.9,25.2,78.8,11.8,32.8,44.6,24.2,16.0,6.9,5.0,5.0,19.8,21.0,112.7,-1.1,112.8,17.0,29.0,28.6,11.6,12.1,8.1,38.3,0.098
LeBron James,LAL,38,34,16,18,36.2,29.7,11.6,22.6,51.1,2.0,6.7,29.3,4.6,6.1,75.8,1.3,7.1,8.4,7.0,3.2,1.0,0.5,1.6,51.7,13.0,0.0,2.7,2022-23,114.6,111.6,3.0,31.1,2.19,19.9,3.5,19.1,11.5,9.1,55.5,58.7,32.2,103.42,17.4,2660,4.0,2.6,6.3,16.1,11.8,9.4,10.8,39.4,0.9,5.3,70.2,29.8,64.6,10.3,19.9,21.1,15.5,13.6,54.3,39.0,61.0,65.7,34.3,43.5,56.5,1232.0,32.2,34.0,33.3,24.5,28.7,33.9,34.4,18.5,26.4,24.8,34.8,31.0,19.9,15.4,21.6,12.1,33.3,33.1,2022-23,"James, LeBron",46.3,42.0,87.5,48.0,11.8,34.2,34.5,15.5,20.5,75.3,9.1,32.0,41.0,25.2,12.5,7.3,5.2,4.4,20.2,17.4,111.2,-3.4,111.6,26.4,19.9,15.4,11.8,9.4,10.8,39.4,0.111
Kevin Durant,BKN,34,39,26,13,36.0,29.7,10.5,18.8,55.9,1.8,4.8,37.6,6.8,7.3,93.4,0.4,6.4,6.7,5.3,3.5,0.8,1.5,2.4,49.2,5.0,1.0,4.8,2022-23,117.0,111.0,6.1,23.9,1.52,17.4,1.1,16.5,9.6,11.4,60.7,67.3,31.1,99.23,18.6,2905,4.0,1.9,3.1,9.4,13.3,10.9,11.2,35.6,0.5,6.0,74.3,25.7,58.5,26.9,18.4,10.5,23.1,13.5,31.6,45.7,54.3,59.2,40.8,48.0,52.0,1403.0,31.1,32.1,30.1,20.1,21.5,54.0,47.0,7.0,25.4,22.3,26.2,32.9,16.2,27.0,20.0,15.3,43.7,34.1,2022-23,"Durant, Kevin",48.3,39.7,88.5,44.9,11.8,32.9,35.9,19.2,24.9,77.4,11.2,31.8,43.0,22.1,13.8,7.8,3.6,7.4,18.5,20.7,110.5,-6.5,111.0,25.4,16.2,27.0,13.3,10.9,11.2,35.6,0.117
Stephen Curry,GSW,34,30,16,14,34.0,29.3,9.9,20.0,49.3,4.9,11.6,42.1,4.7,5.1,90.9,0.6,5.8,6.4,6.3,3.1,0.9,0.4,2.1,47.2,8.0,1.0,4.8,2022-23,117.4,111.4,6.0,27.7,2.01,20.2,1.7,16.1,9.1,10.0,61.5,65.7,29.8,105.46,17.3,2246,4.4,2.2,2.8,7.5,13.4,10.2,10.0,35.0,0.8,4.1,41.9,58.1,33.9,8.2,50.2,9.7,15.9,15.0,25.7,38.3,61.7,55.8,44.2,47.0,53.0,1021.0,29.8,30.3,30.4,39.0,36.7,46.1,40.1,8.9,23.7,20.5,27.9,28.5,18.1,12.1,29.5,13.7,32.4,33.3,2022-23,"Curry, Stephen",45.4,39.7,85.2,46.6,11.7,33.4,35.0,19.9,25.1,79.4,10.2,31.9,42.1,23.6,15.0,7.5,3.5,4.1,16.9,20.8,111.0,-6.4,111.4,23.7,18.1,12.1,13.4,10.2,10.0,35.0,0.108
Damian Lillard,POR,32,31,16,15,35.6,28.8,8.9,19.7,45.0,3.9,10.8,36.1,7.2,8.1,89.2,0.6,3.3,3.9,7.1,3.2,0.9,0.3,1.9,44.5,7.0,0.0,5.4,2022-23,120.0,113.5,6.5,32.1,2.21,21.3,1.7,9.2,5.6,9.6,54.9,62.0,31.4,99.26,15.9,2293,3.9,1.9,2.8,7.8,13.0,10.2,11.5,39.1,0.9,6.1,45.2,54.8,34.5,7.4,40.6,9.6,24.9,13.5,27.1,24.0,76.0,57.9,42.1,38.9,61.1,1105.0,31.4,28.7,31.6,37.7,39.6,43.2,39.0,7.7,13.6,12.2,37.5,28.9,17.5,10.4,32.6,12.2,34.9,32.5,2022-23,"Lillard, Damian",48.2,41.5,87.5,47.5,11.0,31.2,35.3,18.6,24.6,75.8,10.2,29.5,39.7,25.3,13.2,8.2,3.9,4.2,23.7,20.7,112.7,-7.3,113.5,13.6,17.5,10.4,13.0,10.2,11.5,39.1,0.09
Donovan Mitchell,CLE,26,40,26,14,36.1,28.4,9.8,20.2,48.4,3.7,9.4,39.5,5.2,5.9,86.9,0.9,3.0,3.9,4.8,3.0,1.4,0.4,2.5,42.5,3.0,0.0,3.5,2022-23,113.3,109.6,3.7,22.8,1.6,15.8,2.7,8.6,5.6,9.9,57.6,62.3,30.8,96.87,15.2,2929,4.0,2.2,3.6,9.4,11.6,7.8,10.3,32.5,0.8,4.3,53.2,46.8,42.5,9.3,39.4,12.5,18.1,14.2,33.1,26.6,73.4,41.6,58.4,32.3,67.7,1445.0,30.8,31.9,31.7,43.3,38.4,38.8,35.5,13.3,12.2,12.4,27.8,29.2,29.8,12.5,26.2,17.7,29.4,34.2,2022-23,"Mitchell, Donovan",49.3,39.5,84.2,47.0,12.4,32.3,38.4,17.1,22.4,76.6,8.1,31.7,39.8,23.1,14.6,7.6,4.2,3.8,20.1,19.3,108.6,-4.7,109.6,12.2,29.8,12.5,11.6,7.8,10.3,32.5,0.131
